call_id, enqueued_at, started_at, completed_at, waiting_time_ms, exec_time_ms, total_time_ms
call#0, 1768141222121, 1768141222121, 1768141229150, 0, 7029, 7029
call#1, 1768141222122, 1768141222121, 1768141223128, 1, 1007, 1006
call#2, 1768141222122, 1768141222121, 1768141231157, 1, 9036, 9035
call#3, 1768141222122, 1768141222121, 1768141225136, 1, 3015, 3014
call#4, 1768141222122, 1768141222121, 1768141226140, 1, 4019, 4018
call#5, 1768141222122, 1768141222121, 1768141224132, 1, 2011, 2010
call#6, 1768141222122, 1768141222121, 1768141227143, 1, 5022, 5021
call#7, 1768141222123, 1768141222121, 1768141228147, 2, 6026, 6024
call#8, 1768141222123, 1768141222121, 1768141230153, 2, 8032, 8030
call#9, 1768141222123, 1768141222121, 1768141232161, 2, 10040, 10038
call#10, 1768141222123, 1768141222121, 1768141233164, 2, 11043, 11041
call#11, 1768141222123, 1768141222121, 1768141235173, 2, 13052, 13050
call#12, 1768141222123, 1768141222121, 1768141234169, 2, 12048, 12046
call#13, 1768141222123, 1768141222121, 1768141236176, 2, 14055, 14053
call#14, 1768141222123, 1768141222121, 1768141239185, 2, 17064, 17062
call#15, 1768141222123, 1768141222121, 1768141237179, 2, 15058, 15056
call#16, 1768141222123, 1768141222121, 1768141238182, 2, 16061, 16059
call#17, 1768141222123, 1768141222121, 1768141240190, 2, 18069, 18067
call#18, 1768141222124, 1768141222121, 1768141241193, 3, 19072, 19069
call#19, 1768141222124, 1768141222121, 1768141242196, 3, 20075, 20072
